scenario_id,scenario_key,reference_id,family,level_idx,level_factor,lead_steps,delay_steps,precision,recall,f1_point,pred_positive_rate,mean_detection_offset,mean_detection_offset_empirical
r1_sparse_two_short__on_time,on_time,r1_sparse_two_short,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.10000000,0.00000000,0.00000000
r1_sparse_two_short__early_warning_l01,early_warning_l01,r1_sparse_two_short,early_warning,1,0.25000000,4,0,0.81818182,1.00000000,0.90000000,0.12222222,-4.00000000,-4.00000000
r1_sparse_two_short__early_warning_l02,early_warning_l02,r1_sparse_two_short,early_warning,2,0.50000000,9,0,0.66666667,1.00000000,0.80000000,0.15000000,-9.00000000,-9.00000000
r1_sparse_two_short__early_warning_l03,early_warning_l03,r1_sparse_two_short,early_warning,3,0.75000000,14,0,0.56250000,1.00000000,0.72000000,0.17777778,-14.00000000,-14.00000000
r1_sparse_two_short__early_warning_l04,early_warning_l04,r1_sparse_two_short,early_warning,4,1.00000000,18,0,0.50000000,1.00000000,0.66666667,0.20000000,-18.00000000,-18.00000000
r1_sparse_two_short__early_warning_l05,early_warning_l05,r1_sparse_two_short,early_warning,5,1.25000000,22,0,0.45000000,1.00000000,0.62068966,0.22222222,-22.00000000,-22.00000000
r1_sparse_two_short__late_detection_l01,late_detection_l01,r1_sparse_two_short,late_detection,1,0.90000000,0,2,1.00000000,0.88888889,0.94117647,0.08888889,2.00000000,2.00000000
r1_sparse_two_short__late_detection_l02,late_detection_l02,r1_sparse_two_short,late_detection,2,0.75000000,0,4,1.00000000,0.77777778,0.87500000,0.07777778,4.00000000,4.00000000
r1_sparse_two_short__late_detection_l03,late_detection_l03,r1_sparse_two_short,late_detection,3,0.50000000,0,9,1.00000000,0.50000000,0.66666667,0.05000000,9.00000000,9.00000000
r1_sparse_two_short__late_detection_l04,late_detection_l04,r1_sparse_two_short,late_detection,4,0.25000000,0,14,1.00000000,0.22222222,0.36363636,0.02222222,14.00000000,14.00000000
r1_sparse_two_short__late_detection_l05,late_detection_l05,r1_sparse_two_short,late_detection,5,0.10000000,0,16,1.00000000,0.11111111,0.20000000,0.01111111,16.00000000,16.00000000
r2_single_long__on_time,on_time,r2_single_long,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.45000000,0.00000000,0.00000000
r2_single_long__early_warning_l01,early_warning_l01,r2_single_long,early_warning,1,0.25000000,4,0,0.80198020,1.00000000,0.89010989,0.56111111,-36.00000000,-36.00000000
r2_single_long__early_warning_l02,early_warning_l02,r2_single_long,early_warning,2,0.50000000,9,0,0.66666667,1.00000000,0.80000000,0.67500000,-36.00000000,-36.00000000
r2_single_long__early_warning_l03,early_warning_l03,r2_single_long,early_warning,3,0.75000000,14,0,0.64285714,1.00000000,0.78260870,0.70000000,-36.00000000,-36.00000000
r2_single_long__early_warning_l04,early_warning_l04,r2_single_long,early_warning,4,1.00000000,18,0,0.64285714,1.00000000,0.78260870,0.70000000,-36.00000000,-36.00000000
